OBJECTID,SoilKey,HorizonKey,HorizonDepthUpper,DepthMeasure,Texture,RockFragments,Effer,HorizonColorDry,HorizonColorMoist,StructGrade,StructShape,unused,Nomenclature,HorizonDepthLower,ESD_Horizon,ESD_HorizonModifier,ESD_FragVolPct,ESD_FragmentType,ESD_PetrocalcicRubble,ESD_Gypsic,ESD_PctClay,ESD_Hue,ESD_Value,ESD_Chroma,ESD_Color,ESD_Grade,ESD_Size,ESD_Structure,ESD_StructQual,ESD_Grade2,ESD_Size2,ESD_Structure2,ESD_RuptureResistance,ESD_ClayFilm,ESD_CarbonateStage,ESD_CaCO3EquivPct,ESD_EC,ESD_pH,ESD_GypsumPct,ESD_NAabsorptionRatio,ESD_Notes,ESD_PSAPctSand,ESD_PSAPctSilt,ESD_PSAPctClay,ESD_GravelClassPctFine,ESD_GravelClassPctMed,ESD_GravelClassPctCoarse,ESD_GravelCarbonateCoatPct,ESD_FragmentRoundness,ESD_RootSize,ESD_RootQty,ESD_PoresSize,ESD_PoresQty,ESD_SandFractPctVeryFine,ESD_SandFractPctFine,ESD_SandFractPctMed,ESD_SandFractPctCoarse,ESD_SandFractPctVeryCoarse,ESD_FragVolPct2,ESD_FragmentType2,ESD_FragVolPct3,ESD_FragmentType3,ESD_PctSand,ESD_LabGravelPctFine,ESD_LabGravelPctMed,ESD_LabGravelPctCoarse,DateLoadedInDb,PrimaryKey,DBKey,GlobalID
169080,COS05000_2019_GR-022,2,5.000000000000000,cm,SL,40.000000000000000,VE,,,,,,,18.000000000000000,B,,40,Gravel,,,14.000000000000000,7.5YR,3,3.000000000000000,Moist,,,GR,,,,,,,,,,,,,Roots go throughout this horizon and began growing horizontally at the bottom when the bedrock begins.,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_GR-0222019-09-01,CO2019RawCleaned.gdb,{BE13DE45-6956-4FFB-BDA4-4EF0B603637F}
169081,COS05000_2019_GR-022,3,18.000000000000000,cm,SL,0.000000000000000,,,,,,,,70.000000000000000,R,,0,Gravel,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,"Unweathered bedrock, clay % and texture not accurate. Unable to sample",,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_GR-0222019-09-01,CO2019RawCleaned.gdb,{18E1D881-3A4C-45D0-9C70-1C6FC6BF854E}
169082,COS05000_2019_PJ-137,1,0.000000000000000,cm,SL,30.000000000000000,VE,,,,,,,10.000000000000000,A,,30,Gravel,,,7.000000000000000,7.5YR,5,4.000000000000000,Moist,,,GR,,,,,,,,,,,,,Some fine subangular blocky held together by roots but 90% very fine granular. For color was between 7.5yr 5/4 and 4/4. More closely matched 5/4,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_PJ-1372019-09-01,CO2019RawCleaned.gdb,{8F9A76BC-BA5C-4641-84AA-4B80E3CEF8CF}
169083,COS05000_2019_PJ-137,2,10.000000000000000,cm,SL,3.000000000000000,VE,,,,,,,35.000000000000000,B,,3,Gravel,,,17.000000000000000,10YR,7,4.000000000000000,Moist,,,SBK,,,,,,,,,,,,,Structure ranged in size from very fine to medium with the majority being fine. Slightly less effervescent than first horizon but still violently effervescent.,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_PJ-1372019-09-01,CO2019RawCleaned.gdb,{3D9FAFE4-218F-45DD-8BB9-648095919599}
169084,COS05000_2019_PJ-137,3,35.000000000000000,cm,SCL,1.000000000000000,ST,,,,,,,61.000000000000000,B,C,1,Gravel,,,30.000000000000000,10YR,6,4.000000000000000,Moist,,,SBK,,,,,,,,,,,,,Very little gravel in layer. Similar to second horizon just held more clay and slightly less effervescent.,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_PJ-1372019-09-01,CO2019RawCleaned.gdb,{6EFC7EB9-89B5-40FE-AD6B-82E75BDE22CF}
169085,COS05000_2019_PJ-137,4,61.000000000000000,cm,C,0.000000000000000,SL,,,,,,,72.000000000000000,C,,0,Gravel,,,65.000000000000000,2.5Y,6,6.000000000000000,Moist,,,SBK,,,,,,,,,,,,,"Interesting layer, had mixture of clay like soils that were 2.5Y 6/8 and streaks of teal gley at 5G6/1. Also had redish streaks in horizon. Very high % of clay but not positive how to determine %s over around 60%. Very interesting horizon.",,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_PJ-1372019-09-01,CO2019RawCleaned.gdb,{BB9829FB-0242-4372-B9DD-97FF9BCA6664}
169086,COS05000_2019_SS-247,1,0.000000000000000,cm,SL,0.000000000000000,NE,,,,,,,10.000000000000000,A,,0,Gravel,,,10.000000000000000,5YR,4,3.000000000000000,Moist,,,SBK,,,,,,,,,,,,,Subangular to granular,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_SS-2472019-09-01,CO2019RawCleaned.gdb,{832C03DB-DDD8-46D7-B02E-14D7F7A90D40}
169087,COS05000_2019_SS-247,2,10.000000000000000,cm,SL,0.000000000000000,NE,,,,,,,33.000000000000000,B,,0,Gravel,,,8.000000000000000,5YR,4,3.000000000000000,Moist,,,SBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_SS-2472019-09-01,CO2019RawCleaned.gdb,{24760C03-4E3E-48C4-A263-407CA9CD2960}
169088,COS05000_2019_SS-247,3,33.000000000000000,cm,L,0.000000000000000,NE,,,,,,,51.000000000000000,C,,0,Gravel,,,11.000000000000000,7.5YR,4,4.000000000000000,Moist,,,SBK,,,,,,,,,,,,,Size varied to large,,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_SS-2472019-09-01,CO2019RawCleaned.gdb,{8A30DB06-5E3F-411A-A256-5460320FA001}
169089,COS05000_2019_SS-247,4,51.000000000000000,cm,L,0.000000000000000,SL,,,,,,,70.000000000000000,C,,0,Gravel,,,13.000000000000000,5YR,4,4.000000000000000,Moist,,,SBK,,,,,,,,,,,,,"Very fine grit, appoximated 40%",,,,,,,,,,,,,,,,,,0,Stone,0,,,,,,2019-09-01,COS05000_2019_SS-2472019-09-01,CO2019RawCleaned.gdb,{67C22DB0-29E2-4A36-B4D2-C6E64323D444}
